missing_data,bad_flow,neg_GPP,pos_ER,bad_Rhat,lost_GPP,lost_ER,total_days,site,method,year,gpp_cum,er_cum,obs,peak_er,peak_gpp,gpp_mean,gpp_median,gpp_max,gpp_cv,er_mean,er_median,er_max,er_cv,pctcoverage,nep_cum,days,gpp_min,er_min,era
79,56,1,0,0,149,149,387,CBP,uninformed_raymond,2019,358.0788064224906,690.5049435240597,238,2019-11-21,2019-04-25,1.0567629261159657,0.9244494269975081,3.868579463659759,0.7329572950867697,1.8616423338377786,1.7260960583534442,5.306412522766779,0.5154162946775682,0.6611111111111111,-332.42613710156917,256,NA,NA,NA
43,51,10,1,1,154,151,366,NHC,uninformed_raymond,2017,247.19883720375302,1588.8540445574313,212,2017-10-07,2017-04-03,0.7217245551293628,0.7758007912384117,2.420678854888075,0.7936422893927999,4.3897403235165715,3.307650592648179,15.877660545324535,0.7712336995191429,0.5792349726775956,-1341.6552073536782,212,NA,NA,NA
63,85,16,0,1,166,165,365,NHC,uninformed_raymond,2018,312.4189577843245,1159.8146822945369,199,2018-04-09,2018-03-24,0.8895463512412595,0.7381418520142251,3.3304293659270954,0.7758010054932373,3.042077711033039,2.7724584665208925,7.924447660573122,0.41753132806514937,0.5452054794520548,-847.3957245102124,199,NA,NA,NA
31,55,10,0,2,147,143,365,NHC,uninformed_raymond,2019,394.28757983558404,1282.7246453699147,218,2019-09-25,2019-03-21,1.1900769520061596,1.106006519631551,3.9187202021646996,0.7659224171580731,3.57812914907628,2.8422166997396796,17.885382724686345,0.7335114668413896,0.5972602739726027,-888.4370655343307,218,NA,NA,NA
43,56,0,1,0,87,88,387,PM,uninformed_raymond,2019,316.6409017867342,779.0422089924549,300,2019-04-19,2019-06-17,0.8939833848558749,0.7501388336291674,2.6309849657599607,0.6832214223018991,1.9513348292654376,1.8127544207504254,7.949591883607118,0.5651449632901928,0.7853403141361257,-462.4013072057207,304,NA,NA,NA
31,51,4,1,0,77,74,366,UNHC,uninformed_raymond,2017,314.99066658310505,1520.836530828476,289,2017-11-23,2017-04-09,0.8553842517079122,0.6967197202376965,3.968800782799735,0.9923497711834128,4.502341506121726,2.9762387712359124,15.72956745155768,0.84145120566368925,0.7896174863387978,-1205.845864245371,289,NA,NA,NA
45,85,9,1,1,125,118,365,UNHC,uninformed_raymond,2018,345.1469859876222,1202.6878685679424,240,2018-04-26,2018-05-01,1.0286035681636991,0.691222082861547,3.7455316435616086,0.8831533631915016,3.31787817649475,3.2053128287807104,9.01459852331888,0.44234943596364157,0.6575342465753424,-857.5408825803202,240,NA,NA,NA
34,55,3,0,0,73,72,365,UNHC,uninformed_raymond,2019,486.37893562082866,1617.0613714216777,292,2019-04-09,2019-03-21,1.3349477288557627,1.135615990916624,5.302298106449981,0.8811757559678506,4.276806649482936,3.340046832801204,22.270607486583643,0.6767477712121841,0.8,-1130.682435800849,292,NA,NA,NA
35,56,17,14,3,99,96,387,WB,uninformed_raymond,2019,371.34506912003025,976.1249702504194,288,2019-04-07,2019-04-06,1.0109456296459318,0.8215016316149544,4.475856166048885,0.7110730739277216,2.496089261970198,2.300474303144956,16.015454994920383,0.6847533501438994,0.7539267015706806,-604.7799011303891,292,NA,NA,NA
29,57,0,0,0,74,74,387,WBP,uninformed_raymond,2019,330.2475728026142,1197.082547081061,313,2019-09-28,2019-03-21,0.9022133217573193,0.6798489818526465,5.37596429447113,0.9845209879777047,3.3727580744454797,2.6696079374188857,11.895453904834994,0.7849934140185302,0.819371727748691,-866.8349742784468,317,NA,NA,NA
NA,1,NA,NA,NA,NA,NA,365,CBP,direct_calculation,NA,252.73875,422.4275,NA,1969-09-24,1969-03-11,0.7814545454545455,0.66,2.97,0.6409531875413131,1.2876363636363637,1.15,2.78,0.3806983728689202,0.1506849315068493,NA,55,0.21,0.39,then
NA,0,NA,NA,NA,NA,NA,365,BLK,direct_calculation,NA,NA,NA,NA,NA,NA,0.615,0.515,1.28,0.5999600249817191,1.47875,1.565,2.3,0.40753841626916415,0.021917808219178082,NA,8,0.27,0.59,then
NA,0,NA,NA,NA,NA,NA,365,WB,direct_calculation,NA,NA,NA,NA,NA,NA,0.9390909090909091,0.72,1.56,0.3895830708567464,2.149090909090909,2.04,3.37,0.3344138053991563,0.030136986301369864,NA,11,0.59,0.9,then
NA,0,NA,NA,NA,NA,NA,365,CBP,direct_calculation,1968,239.52666666666667,386.85333333333335,NA,1968-10-03,1969-03-19,0.7255555555555555,0.725,1.51,0.5416963427743324,1.1647222222222222,1.14,1.79,0.36195268281426385,0.049315068493150684,NA,18,0.21,0.39,then
NA,1,NA,NA,NA,NA,NA,365,CBP,direct_calculation,1969,271.86583333333334,470.68878205128203,NA,1969-09-24,1970-03-13,0.7870967741935484,0.57,2.97,0.7268237990898535,1.2914516129032259,1.13,2.78,0.39570478485528693,0.08493150684931507,NA,31,0.23,0.57,then
